name	Unique Positions	Total Tags
genome	17543088	14531575.0
fragmentLengthEstimate=214		
peakSizeEstimate=214		
tagsPerBP=0.004696		
averageTagsPerPosition=0.477		
medianTagsPerPosition=0		
averageTagLength=52.524		
gsizeEstimate=3094475667		
averageFragmentGCcontent=-1.000		
1	1536843	1276292.0
10	847575	708026.0
11	842268	702313.0
12	820545	681630.0
13	468886	386245.0
14	547402	453608.0
15	575911	473255.0
16	717739	597470.0
17	741570	623943.0
18	379824	313322.0
19	673094	576097.0
2	1395535	1151108.0
20	445024	373865.0
21	218629	182044.0
22	357236	300874.0
3	1072937	886656.0
4	871609	712442.0
5	981745	805850.0
6	873383	722067.0
7	955998	792680.0
8	783569	646189.0
9	753811	619879.0
MT	2154	1909.0
X	664656	533435.0
Y	15145	10376.0
cmd=./makeTagDirectory /home/mali/NewDrive/Practice/ChIPAndRNA/chipseq/results/HOMER/Tags/SRR12490774 /home/mali/NewDrive/Practice/ChIPAndRNA/chipseq/results/bowtie/SRR12490774/SRR12490774_sorted.bam		
